,,Arsenal,Everton,Fulham,Manchester City,Newcastle United,Queens Park Rangers,Reading,West Bromwich Albion,West Ham United,Wigan Athletic,Aston Villa,Chelsea,Liverpool,Manchester United,Norwich City,Southampton,Stoke City,Sunderland,Swansea City,Tottenham Hotspur
Fulham vs Queens Park Rangers,avg_quites,,,102.242,,,133.13,,,,,,,,,,,,,,
Fulham vs Reading,win%,,,43.9,,,,39.900000000000006,,,,,,,,,,,,,
Fulham vs Reading,loss%,,,39.900000000000006,,,,43.9,,,,,,,,,,,,,
Fulham vs Reading,tie%,,,16.2,,,,16.2,,,,,,,,,,,,,
Fulham vs Reading,avg_goles,,,3.311,,,,3.212,,,,,,,,,,,,,
Fulham vs Reading,avg_tiros,,,14.051,,,,13.137,,,,,,,,,,,,,
Fulham vs Reading,avg_pases,,,335.867,,,,197.771,,,,,,,,,,,,,
Fulham vs Reading,avg_quites,,,103.125,,,,108.299,,,,,,,,,,,,,
Fulham vs West Bromwich Albion,win%,,,34.1,,,,,52.400000000000006,,,,,,,,,,,,
Fulham vs West Bromwich Albion,loss%,,,52.400000000000006,,,,,34.1,,,,,,,,,,,,
Fulham vs West Bromwich Albion,tie%,,,13.5,,,,,13.5,,,,,,,,,,,,
Fulham vs West Bromwich Albion,avg_goles,,,3.582,,,,,4.325,,,,,,,,,,,,
Fulham vs West Bromwich Albion,avg_tiros,,,14.108,,,,,15.754,,,,,,,,,,,,
Fulham vs West Bromwich Albion,avg_pases,,,309.973,,,,,233.309,,,,,,,,,,,,
Fulham vs West Bromwich Albion,avg_quites,,,104.235,,,,,110.377,,,,,,,,,,,,
Fulham vs West Ham United,win%,,,29.7,,,,,,56.10000000000001,,,,,,,,,,,
Fulham vs West Ham United,loss%,,,56.10000000000001,,,,,,29.7,,,,,,,,,,,
Fulham vs West Ham United,tie%,,,14.2,,,,,,14.2,,,,,,,,,,,
Fulham vs West Ham United,avg_goles,,,3.031,,,,,,3.922,,,,,,,,,,,
Fulham vs West Ham United,avg_tiros,,,14.965,,,,,,14.742,,,,,,,,,,,
Fulham vs West Ham United,avg_pases,,,284.967,,,,,,227.218,,,,,,,,,,,
Fulham vs West Ham United,avg_quites,,,99.488,,,,,,136.923,,,,,,,,,,,
Fulham vs Wigan Athletic,win%,,,24.099999999999998,,,,,,,62.1,,,,,,,,,,
Fulham vs Wigan Athletic,loss%,,,62.1,,,,,,,24.099999999999998,,,,,,,,,,
Fulham vs Wigan Athletic,tie%,,,13.8,,,,,,,13.8,,,,,,,,,,
Fulham vs Wigan Athletic,avg_goles,,,2.723,,,,,,,3.902,,,,,,,,,,
Fulham vs Wigan Athletic,avg_tiros,,,11.396,,,,,,,17.271,,,,,,,,,,
Fulham vs Wigan Athletic,avg_pases,,,293.721,,,,,,,297.962,,,,,,,,,,
Fulham vs Wigan Athletic,avg_quites,,,110.208,,,,,,,86.452,,,,,,,,,,
Fulham vs Aston Villa,win%,,,44.6,,,,,,,,41.6,,,,,,,,,
Fulham vs Aston Villa,loss%,,,41.6,,,,,,,,44.6,,,,,,,,,
Fulham vs Aston Villa,tie%,,,13.8,,,,,,,,13.8,,,,,,,,,
Fulham vs Aston Villa,avg_goles,,,3.69,,,,,,,,3.577,,,,,,,,,
Fulham vs Aston Villa,avg_tiros,,,14.563,,,,,,,,14.077,,,,,,,,,
Fulham vs Aston Villa,avg_pases,,,293.596,,,,,,,,221.959,,,,,,,,,
Fulham vs Aston Villa,avg_quites,,,109.182,,,,,,,,121.085,,,,,,,,,
Fulham vs Chelsea,win%,,,26.200000000000003,,,,,,,,,58.599999999999994,,,,,,,,
Fulham vs Chelsea,loss%,,,58.599999999999994,,,,,,,,,26.200000000000003,,,,,,,,
Fulham vs Chelsea,tie%,,,15.2,,,,,,,,,15.2,,,,,,,,
Fulham vs Chelsea,avg_goles,,,3.01,,,,,,,,,4.127,,,,,,,,
Fulham vs Chelsea,avg_tiros,,,12.793,,,,,,,,,17.992,,,,,,,,
Fulham vs Chelsea,avg_pases,,,266.388,,,,,,,,,301.611,,,,,,,,
Fulham vs Chelsea,avg_quites,,,106.866,,,,,,,,,99.99,,,,,,,,
Fulham vs Liverpool,win%,,,41.199999999999996,,,,,,,,,,43.4,,,,,,,
Fulham vs Liverpool,loss%,,,43.4,,,,,,,,,,41.199999999999996,,,,,,,
Fulham vs Liverpool,tie%,,,15.4,,,,,,,,,,15.4,,,,,,,
Fulham vs Liverpool,avg_goles,,,3.271,,,,,,,,,,3.326,,,,,,,
Fulham vs Liverpool,avg_tiros,,,11.843,,,,,,,,,,17.257,,,,,,,
Fulham vs Liverpool,avg_pases,,,260.735,,,,,,,,,,323.393,,,,,,,
Fulham vs Liverpool,avg_quites,,,109.517,,,,,,,,,,99.455,,,,,,,
Fulham vs Manchester United,win%,,,33.1,,,,,,,,,,,50.9,,,,,,
Fulham vs Manchester United,loss%,,,50.9,,,,,,,,,,,33.1,,,,,,
Fulham vs Manchester United,tie%,,,16.0,,,,,,,,,,,16.0,,,,,,
Fulham vs Manchester United,avg_goles,,,3.329,,,,,,,,,,,3.941,,,,,,
Fulham vs Manchester United,avg_tiros,,,11.855,,,,,,,,,,,14.532,,,,,,
Fulham vs Manchester United,avg_pases,,,264.026,,,,,,,,,,,318.978,,,,,,
Fulham vs Manchester United,avg_quites,,,103.565,,,,,,,,,,,102.921,,,,,,
Fulham vs Norwich City,win%,,,33.900000000000006,,,,,,,,,,,,51.4,,,,,
Fulham vs Norwich City,loss%,,,51.4,,,,,,,,,,,,33.900000000000006,,,,,
Fulham vs Norwich City,tie%,,,14.7,,,,,,,,,,,,14.7,,,,,
Fulham vs Norwich City,avg_goles,,,2.896,,,,,,,,,,,,3.36,,,,,
Fulham vs Norwich City,avg_tiros,,,13.395,,,,,,,,,,,,13.196,,,,,
Fulham vs Norwich City,avg_pases,,,319.867,,,,,,,,,,,,209.647,,,,,
Fulham vs Norwich City,avg_quites,,,112.304,,,,,,,,,,,,108.917,,,,,
Fulham vs Southampton,win%,,,89.0,,,,,,,,,,,,,5.3,,,,
Fulham vs Southampton,loss%,,,5.3,,,,,,,,,,,,,89.0,,,,
Fulham vs Southampton,tie%,,,5.7,,,,,,,,,,,,,5.7,,,,
Fulham vs Southampton,avg_goles,,,8.322,,,,,,,,,,,,,3.662,,,,
Fulham vs Southampton,avg_tiros,,,10.22,,,,,,,,,,,,,16.737,,,,
Fulham vs Southampton,avg_pases,,,259.12,,,,,,,,,,,,,294.318,,,,
Fulham vs Southampton,avg_quites,,,102.74,,,,,,,,,,,,,121.531,,,,
Fulham vs Stoke City,win%,,,32.0,,,,,,,,,,,,,,50.4,,,
Fulham vs Stoke City,loss%,,,50.4,,,,,,,,,,,,,,32.0,,,
Fulham vs Stoke City,tie%,,,17.599999999999998,,,,,,,,,,,,,,17.599999999999998,,,
Fulham vs Stoke City,avg_goles,,,2.941,,,,,,,,,,,,,,3.477,,,
Fulham vs Stoke City,avg_tiros,,,13.62,,,,,,,,,,,,,,11.504,,,
Fulham vs Stoke City,avg_pases,,,278.479,,,,,,,,,,,,,,218.321,,,
Fulham vs Stoke City,avg_quites,,,109.122,,,,,,,,,,,,,,139.472,,,
Fulham vs Sunderland,win%,,,47.099999999999994,,,,,,,,,,,,,,,34.1,,
Fulham vs Sunderland,loss%,,,34.1,,,,,,,,,,,,,,,47.099999999999994,,
Fulham vs Sunderland,tie%,,,18.8,,,,,,,,,,,,,,,18.8,,
Fulham vs Sunderland,avg_goles,,,2.96,,,,,,,,,,,,,,,2.514,,
Fulham vs Sunderland,avg_tiros,,,14.58,,,,,,,,,,,,,,,12.599,,
Fulham vs Sunderland,avg_pases,,,301.966,,,,,,,,,,,,,,,207.064,,
Fulham vs Sunderland,avg_quites,,,114.877,,,,,,,,,,,,,,,118.908,,
Fulham vs Swansea City,win%,,,40.9,,,,,,,,,,,,,,,,41.6,
Fulham vs Swansea City,loss%,,,41.6,,,,,,,,,,,,,,,,40.9,
Fulham vs Swansea City,tie%,,,17.5,,,,,,,,,,,,,,,,17.5,
Fulham vs Swansea City,avg_goles,,,3.06,,,,,,,,,,,,,,,,3.066,
Fulham vs Swansea City,avg_tiros,,,11.439,,,,,,,,,,,,,,,,14.984,
Fulham vs Swansea City,avg_pases,,,266.911,,,,,,,,,,,,,,,,332.518,
Fulham vs Swansea City,avg_quites,,,107.436,,,,,,,,,,,,,,,,93.958,
Fulham vs Tottenham Hotspur,win%,,,22.8,,,,,,,,,,,,,,,,,64.3
Fulham vs Tottenham Hotspur,loss%,,,64.3,,,,,,,,,,,,,,,,,22.8
Fulham vs Tottenham Hotspur,tie%,,,12.9,,,,,,,,,,,,,,,,,12.9
Fulham vs Tottenham Hotspur,avg_goles,,,2.596,,,,,,,,,,,,,,,,,4.022
Fulham vs Tottenham Hotspur,avg_tiros,,,12.148,,,,,,,,,,,,,,,,,20.268
Fulham vs Tottenham Hotspur,avg_pases,,,304.814,,,,,,,,,,,,,,,,,246.603
Fulham vs Tottenham Hotspur,avg_quites,,,103.57,,,,,,,,,,,,,,,,,103.003
Manchester City vs Newcastle United,win%,,,,88.1,3.4000000000000004,,,,,,,,,,,,,,,
Manchester City vs Newcastle United,loss%,,,,3.4000000000000004,88.1,,,,,,,,,,,,,,,
Manchester City vs Newcastle United,tie%,,,,8.5,8.5,,,,,,,,,,,,,,,
Manchester City vs Newcastle United,avg_goles,,,,3.757,0.719,,,,,,,,,,,,,,,
Manchester City vs Newcastle United,avg_tiros,,,,19.21,8.343,,,,,,,,,,,,,,,
Manchester City vs Newcastle United,avg_pases,,,,327.621,258.816,,,,,,,,,,,,,,,
Manchester City vs Newcastle United,avg_quites,,,,88.629,102.646,,,,,,,,,,,,,,,
Manchester City vs Queens Park Rangers,win%,,,,86.5,,4.6,,,,,,,,,,,,,,
Manchester City vs Queens Park Rangers,loss%,,,,4.6,,86.5,,,,,,,,,,,,,,
Manchester City vs Queens Park Rangers,tie%,,,,8.9,,8.9,,,,,,,,,,,,,,
Manchester City vs Queens Park Rangers,avg_goles,,,,3.282,,0.665,,,,,,,,,,,,,,
Manchester City vs Queens Park Rangers,avg_tiros,,,,18.331,,9.456,,,,,,,,,,,,,,
Manchester City vs Queens Park Rangers,avg_pases,,,,315.947,,244.547,,,,,,,,,,,,,,
Manchester City vs Queens Park Rangers,avg_quites,,,,79.179,,123.911,,,,,,,,,,,,,,
Manchester City vs Reading,win%,,,,68.30000000000001,,,18.7,,,,,,,,,,,,,
Manchester City vs Reading,loss%,,,,18.7,,,68.30000000000001,,,,,,,,,,,,,
Manchester City vs Reading,tie%,,,,13.0,,,13.0,,,,,,,,,,,,,
Manchester City vs Reading,avg_goles,,,,3.69,,,2.103,,,,,,,,,,,,,
Manchester City vs Reading,avg_tiros,,,,19.283,,,9.981,,,,,,,,,,,,,
Manchester City vs Reading,avg_pases,,,,386.196,,,202.627,,,,,,,,,,,,,
Manchester City vs Reading,avg_quites,,,,80.247,,,100.318,,,,,,,,,,,,,
Manchester City vs West Bromwich Albion,win%,,,,60.699999999999996,,,,25.0,,,,,,,,,,,,
Manchester City vs West Bromwich Albion,loss%,,,,25.0,,,,60.699999999999996,,,,,,,,,,,,
Manchester City vs West Bromwich Albion,tie%,,,,14.299999999999999,,,,14.299999999999999,,,,,,,,,,,,
Manchester City vs West Bromwich Albion,avg_goles,,,,3.726,,,,2.593,,,,,,,,,,,,
Manchester City vs West Bromwich Albion,avg_tiros,,,,19.325,,,,12.158,,,,,,,,,,,,
Manchester City vs West Bromwich Albion,avg_pases,,,,356.573,,,,243.316,,,,,,,,,,,,
Manchester City vs West Bromwich Albion,avg_quites,,,,81.669,,,,99.438,,,,,,,,,,,,
Manchester City vs West Ham United,win%,,,,59.4,,,,,25.6,,,,,,,,,,,
Manchester City vs West Ham United,loss%,,,,25.6,,,,,59.4,,,,,,,,,,,
Manchester City vs West Ham United,tie%,,,,15.0,,,,,15.0,,,,,,,,,,,
Manchester City vs West Ham United,avg_goles,,,,3.644,,,,,2.632,,,,,,,,,,,
Manchester City vs West Ham United,avg_tiros,,,,20.756,,,,,12.331,,,,,,,,,,,
Manchester City vs West Ham United,avg_pases,,,,331.446,,,,,234.952,,,,,,,,,,,
Manchester City vs West Ham United,avg_quites,,,,78.654,,,,,123.76,,,,,,,,,,,
Manchester City vs Wigan Athletic,win%,,,,57.99999999999999,,,,,,25.5,,,,,,,,,,
Manchester City vs Wigan Athletic,loss%,,,,25.5,,,,,,57.99999999999999,,,,,,,,,,
Manchester City vs Wigan Athletic,tie%,,,,16.5,,,,,,16.5,,,,,,,,,,
Manchester City vs Wigan Athletic,avg_goles,,,,3.116,,,,,,2.11,,,,,,,,,,
Manchester City vs Wigan Athletic,avg_tiros,,,,15.465,,,,,,14.224,,,,,,,,,,
Manchester City vs Wigan Athletic,avg_pases,,,,330.326,,,,,,315.458,,,,,,,,,,
Manchester City vs Wigan Athletic,avg_quites,,,,87.081,,,,,,78.683,,,,,,,,,,
Manchester City vs Aston Villa,win%,,,,70.39999999999999,,,,,,,16.7,,,,,,,,,
Manchester City vs Aston Villa,loss%,,,,16.7,,,,,,,70.39999999999999,,,,,,,,,
Manchester City vs Aston Villa,tie%,,,,12.9,,,,,,,12.9,,,,,,,,,
Manchester City vs Aston Villa,avg_goles,,,,4.19,,,,,,,2.229,,,,,,,,,
Manchester City vs Aston Villa,avg_tiros,,,,19.999,,,,,,,11.167,,,,,,,,,
Manchester City vs Aston Villa,avg_pases,,,,336.651,,,,,,,234.563,,,,,,,,,
Manchester City vs Aston Villa,avg_quites,,,,86.1,,,,,,,108.938,,,,,,,,,
Manchester City vs Chelsea,win%,,,,51.6,,,,,,,,33.1,,,,,,,,
Manchester City vs Chelsea,loss%,,,,33.1,,,,,,,,51.6,,,,,,,,
Manchester City vs Chelsea,tie%,,,,15.299999999999999,,,,,,,,15.299999999999999,,,,,,,,
Manchester City vs Chelsea,avg_goles,,,,3.638,,,,,,,,3.04,,,,,,,,
Manchester City vs Chelsea,avg_tiros,,,,18.087,,,,,,,,16.254,,,,,,,,
Manchester City vs Chelsea,avg_pases,,,,299.472,,,,,,,,319.269,,,,,,,,
Manchester City vs Chelsea,avg_quites,,,,81.958,,,,,,,,93.339,,,,,,,,
Manchester City vs Liverpool,win%,,,,70.5,,,,,,,,,15.8,,,,,,,
Manchester City vs Liverpool,loss%,,,,15.8,,,,,,,,,70.5,,,,,,,
Manchester City vs Liverpool,tie%,,,,13.700000000000001,,,,,,,,,13.700000000000001,,,,,,,
Manchester City vs Liverpool,avg_goles,,,,3.48,,,,,,,,,1.816,,,,,,,
Manchester City vs Liverpool,avg_tiros,,,,15.489,,,,,,,,,14.358,,,,,,,
Manchester City vs Liverpool,avg_pases,,,,289.46,,,,,,,,,343.795,,,,,,,
Manchester City vs Liverpool,avg_quites,,,,86.999,,,,,,,,,90.054,,,,,,,
Manchester City vs Manchester United,win%,,,,59.5,,,,,,,,,,24.0,,,,,,
Manchester City vs Manchester United,loss%,,,,24.0,,,,,,,,,,59.5,,,,,,
Manchester City vs Manchester United,tie%,,,,16.5,,,,,,,,,,16.5,,,,,,
Manchester City vs Manchester United,avg_goles,,,,3.57,,,,,,,,,,2.487,,,,,,
Manchester City vs Manchester United,avg_tiros,,,,16.38,,,,,,,,,,11.885,,,,,,
Manchester City vs Manchester United,avg_pases,,,,302.297,,,,,,,,,,338.162,,,,,,
Manchester City vs Manchester United,avg_quites,,,,82.686,,,,,,,,,,92.254,,,,,,
Manchester City vs Norwich City,win%,,,,66.60000000000001,,,,,,,,,,,18.3,,,,,
Manchester City vs Norwich City,loss%,,,,18.3,,,,,,,,,,,66.60000000000001,,,,,
Manchester City vs Norwich City,tie%,,,,15.1,,,,,,,,,,,15.1,,,,,
Manchester City vs Norwich City,avg_goles,,,,3.339,,,,,,,,,,,1.817,,,,,
Manchester City vs Norwich City,avg_tiros,,,,18.736,,,,,,,,,,,10.756,,,,,
Manchester City vs Norwich City,avg_pases,,,,362.353,,,,,,,,,,,218.707,,,,,
Manchester City vs Norwich City,avg_quites,,,,86.458,,,,,,,,,,,101.467,,,,,
Manchester City vs Southampton,win%,,,,99.4,,,,,,,,,,,,0.2,,,,
Manchester City vs Southampton,loss%,,,,0.2,,,,,,,,,,,,99.4,,,,
Manchester City vs Southampton,tie%,,,,0.4,,,,,,,,,,,,0.4,,,,
Manchester City vs Southampton,avg_goles,,,,12.538,,,,,,,,,,,,2.724,,,,
Manchester City vs Southampton,avg_tiros,,,,14.39,,,,,,,,,,,,15.164,,,,
Manchester City vs Southampton,avg_pases,,,,294.392,,,,,,,,,,,,311.988,,,,
Manchester City vs Southampton,avg_quites,,,,82.994,,,,,,,,,,,,112.868,,,,
Manchester City vs Stoke City,win%,,,,58.599999999999994,,,,,,,,,,,,,24.8,,,
Manchester City vs Stoke City,loss%,,,,24.8,,,,,,,,,,,,,58.599999999999994,,,
Manchester City vs Stoke City,tie%,,,,16.6,,,,,,,,,,,,,16.6,,,
Manchester City vs Stoke City,avg_goles,,,,3.011,,,,,,,,,,,,,2.039,,,
Manchester City vs Stoke City,avg_tiros,,,,18.232,,,,,,,,,,,,,8.794,,,
Manchester City vs Stoke City,avg_pases,,,,322.923,,,,,,,,,,,,,228.63,,,
Manchester City vs Stoke City,avg_quites,,,,89.306,,,,,,,,,,,,,129.682,,,
Manchester City vs Sunderland,win%,,,,69.5,,,,,,,,,,,,,,16.3,,
Manchester City vs Sunderland,loss%,,,,16.3,,,,,,,,,,,,,,69.5,,
Manchester City vs Sunderland,tie%,,,,14.2,,,,,,,,,,,,,,14.2,,
Manchester City vs Sunderland,avg_goles,,,,3.314,,,,,,,,,,,,,,1.704,,
Manchester City vs Sunderland,avg_tiros,,,,19.139,,,,,,,,,,,,,,10.092,,
Manchester City vs Sunderland,avg_pases,,,,349.313,,,,,,,,,,,,,,219.477,,
Manchester City vs Sunderland,avg_quites,,,,88.448,,,,,,,,,,,,,,109.328,,
Manchester City vs Swansea City,win%,,,,54.50000000000001,,,,,,,,,,,,,,,27.400000000000002,
Manchester City vs Swansea City,loss%,,,,27.400000000000002,,,,,,,,,,,,,,,54.50000000000001,
Manchester City vs Swansea City,tie%,,,,18.099999999999998,,,,,,,,,,,,,,,18.099999999999998,
Manchester City vs Swansea City,avg_goles,,,,3.087,,,,,,,,,,,,,,,2.286,
Manchester City vs Swansea City,avg_tiros,,,,15.385,,,,,,,,,,,,,,,13.082,
Manchester City vs Swansea City,avg_pases,,,,304.763,,,,,,,,,,,,,,,346.226,
Manchester City vs Swansea City,avg_quites,,,,82.013,,,,,,,,,,,,,,,89.08,
Manchester City vs Tottenham Hotspur,win%,,,,47.599999999999994,,,,,,,,,,,,,,,,37.1
Manchester City vs Tottenham Hotspur,loss%,,,,37.1,,,,,,,,,,,,,,,,47.599999999999994
Manchester City vs Tottenham Hotspur,tie%,,,,15.299999999999999,,,,,,,,,,,,,,,,15.299999999999999
Manchester City vs Tottenham Hotspur,avg_goles,,,,2.998,,,,,,,,,,,,,,,,2.658
Manchester City vs Tottenham Hotspur,avg_tiros,,,,16.766,,,,,,,,,,,,,,,,17.663
Manchester City vs Tottenham Hotspur,avg_pases,,,,340.78,,,,,,,,,,,,,,,,256.243
Manchester City vs Tottenham Hotspur,avg_quites,,,,82.825,,,,,,,,,,,,,,,,96.63
Newcastle United vs Queens Park Rangers,win%,,,,,31.2,39.6,,,,,,,,,,,,,,
Newcastle United vs Queens Park Rangers,loss%,,,,,39.6,31.2,,,,,,,,,,,,,,
Newcastle United vs Queens Park Rangers,tie%,,,,,29.2,29.2,,,,,,,,,,,,,,
Newcastle United vs Queens Park Rangers,avg_goles,,,,,0.912,1.047,,,,,,,,,,,,,,
Newcastle United vs Queens Park Rangers,avg_tiros,,,,,9.062,10.862,,,,,,,,,,,,,,
Newcastle United vs Queens Park Rangers,avg_pases,,,,,246.312,240.584,,,,,,,,,,,,,,
Newcastle United vs Queens Park Rangers,avg_quites,,,,,103.126,135.416,,,,,,,,,,,,,,
Newcastle United vs Reading,win%,,,,,13.100000000000001,,72.39999999999999,,,,,,,,,,,,,
Newcastle United vs Reading,loss%,,,,,72.39999999999999,,13.100000000000001,,,,,,,,,,,,,
Newcastle United vs Reading,tie%,,,,,14.499999999999998,,14.499999999999998,,,,,,,,,,,,,
Newcastle United vs Reading,avg_goles,,,,,1.053,,2.618,,,,,,,,,,,,,
Newcastle United vs Reading,avg_tiros,,,,,9.507,,11.959,,,,,,,,,,,,,
Newcastle United vs Reading,avg_pases,,,,,301.144,,203.765,,,,,,,,,,,,,
Newcastle United vs Reading,avg_quites,,,,,107.777,,108.7,,,,,,,,,,,,,
Newcastle United vs West Bromwich Albion,win%,,,,,11.1,,,78.3,,,,,,,,,,,,
Newcastle United vs West Bromwich Albion,loss%,,,,,78.3,,,11.1,,,,,,,,,,,,
Newcastle United vs West Bromwich Albion,tie%,,,,,10.6,,,10.6,,,,,,,,,,,,
Newcastle United vs West Bromwich Albion,avg_goles,,,,,1.207,,,3.301,,,,,,,,,,,,
Newcastle United vs West Bromwich Albion,avg_tiros,,,,,9.659,,,14.534,,,,,,,,,,,,
Newcastle United vs West Bromwich Albion,avg_pases,,,,,279.967,,,244.055,,,,,,,,,,,,
Newcastle United vs West Bromwich Albion,avg_quites,,,,,107.971,,,111.717,,,,,,,,,,,,
Newcastle United vs West Ham United,win%,,,,,7.3,,,,81.8,,,,,,,,,,,
Newcastle United vs West Ham United,loss%,,,,,81.8,,,,7.3,,,,,,,,,,,
Newcastle United vs West Ham United,tie%,,,,,10.9,,,,10.9,,,,,,,,,,,
Newcastle United vs West Ham United,avg_goles,,,,,1.056,,,,3.537,,,,,,,,,,,
Newcastle United vs West Ham United,avg_tiros,,,,,10.357,,,,14.381,,,,,,,,,,,
Newcastle United vs West Ham United,avg_pases,,,,,255.134,,,,231.096,,,,,,,,,,,
Newcastle United vs West Ham United,avg_quites,,,,,104.185,,,,140.167,,,,,,,,,,,
Newcastle United vs Wigan Athletic,win%,,,,,9.4,,,,,76.0,,,,,,,,,,
Newcastle United vs Wigan Athletic,loss%,,,,,76.0,,,,,9.4,,,,,,,,,,
Newcastle United vs Wigan Athletic,tie%,,,,,14.6,,,,,14.6,,,,,,,,,,
Newcastle United vs Wigan Athletic,avg_goles,,,,,0.985,,,,,2.891,,,,,,,,,,
Newcastle United vs Wigan Athletic,avg_tiros,,,,,7.535,,,,,16.279,,,,,,,,,,
Newcastle United vs Wigan Athletic,avg_pases,,,,,267.705,,,,,315.864,,,,,,,,,,
Newcastle United vs Wigan Athletic,avg_quites,,,,,113.247,,,,,85.219,,,,,,,,,,
Newcastle United vs Aston Villa,win%,,,,,16.1,,,,,,69.19999999999999,,,,,,,,,
Newcastle United vs Aston Villa,loss%,,,,,69.19999999999999,,,,,,16.1,,,,,,,,,
Newcastle United vs Aston Villa,tie%,,,,,14.7,,,,,,14.7,,,,,,,,,
Newcastle United vs Aston Villa,avg_goles,,,,,1.343,,,,,,2.945,,,,,,,,,
Newcastle United vs Aston Villa,avg_tiros,,,,,10.592,,,,,,12.73,,,,,,,,,
Newcastle United vs Aston Villa,avg_pases,,,,,258.942,,,,,,234.03,,,,,,,,,
Newcastle United vs Aston Villa,avg_quites,,,,,109.254,,,,,,126.599,,,,,,,,,
Newcastle United vs Chelsea,win%,,,,,6.4,,,,,,,84.1,,,,,,,,
Newcastle United vs Chelsea,loss%,,,,,84.1,,,,,,,6.4,,,,,,,,
Newcastle United vs Chelsea,tie%,,,,,9.5,,,,,,,9.5,,,,,,,,
Newcastle United vs Chelsea,avg_goles,,,,,1.143,,,,,,,3.841,,,,,,,,
Newcastle United vs Chelsea,avg_tiros,,,,,8.711,,,,,,,17.899,,,,,,,,
Newcastle United vs Chelsea,avg_pases,,,,,242.298,,,,,,,312.043,,,,,,,,
Newcastle United vs Chelsea,avg_quites,,,,,105.634,,,,,,,101.578,,,,,,,,
Newcastle United vs Liverpool,win%,,,,,17.299999999999997,,,,,,,,62.9,,,,,,,
Newcastle United vs Liverpool,loss%,,,,,62.9,,,,,,,,17.299999999999997,,,,,,,
Newcastle United vs Liverpool,tie%,,,,,19.8,,,,,,,,19.8,,,,,,,
Newcastle United vs Liverpool,avg_goles,,,,,1.328,,,,,,,,2.541,,,,,,,
Newcastle United vs Liverpool,avg_tiros,,,,,8.052,,,,,,,,16.179,,,,,,,
Newcastle United vs Liverpool,avg_pases,,,,,242.427,,,,,,,,332.325,,,,,,,
